"چاہنا (chaahna)","To want"
"چڑھنا (chadhna)","To climb"
"چہل قدمی (chehal qadmi)","Walk, stroll"
"خریدنا (khareedna)","To buy"
"سفر (safar)","Journey"
"سیڑھی (seerhi)","Stair"
"شاید (shaayad)","Perhaps, maybe"
"شور (shore)","Noise, commotion"
"شور مچانا (shore machana)","To make a lot of noise"
"کھڑا (khada)","Standing"
"گانا (gaana)","To sing; song"
"مدد (madad)","Help"
"مشہور (mashhoor)","Famous"
"مصروف (masroof)","Busy"
"مغلئی کھانا (mughlai khana)","North Indian Muslim Food"
"مہمان (mehmaan)","Guest"
"ناچنا (naachna)","To dance"
"استعمال (istimaal)","Use"
"استعمال کرنا (istimaal karna)","To use"
"انتظار (intezar)","Wait, act of waiting"
"انتظار کرنا (intezar karna)","To wait for X"
"بات (baat)","Matter, a piece of speech"
"بات کرنا (baat karna)","To talk to X (about Y)"
"بند (band)","Closed"
"بند کرنا (band karna)","To close, to stop"
"بھروسہ (bharosa)","Trust"
"بھروسہ کرنا (bharosa karna)","To Trust X; have faith in X"
"پتہ (pata)","Address, whereabouts"
"پتہ کرنا (pata karna)","To find out (about X)"
"پریشان (pareshan)","Worried, distressed"
"پریشان کرنا (pareshan karna)","To bother"
"پڑھائی (padhai)","Study"
"پڑھائی کرنا (padhai karna)","To study"
"پورا (poora)","Completed, complete"
"پورا کرنا (poora karna)","To complete"
"پیار (pyar)","Love, affection"
"پیار کرنا (pyar karna)","To love X"
"ختم (khatam)","End"
"ختم کرنا (khatam karna)","To finish (e.g. ‘the teacher is finishing class’)"
"ختم ہونا (khatam hona)","To finish (e.g. ‘Class is finishing/ending’)"
"ذکر (zikr)","Mention"
"ذکر کرنا (zikr karna)","To mention X (to, se)"
"شروع (shuru)","Beginning"
"شروع کرنا (shuru karna)","To start, to begin (e.g. the teacher is starting class)"
"شروع ہونا (shuru hona)","To start, to begin (e.g. Class is starting)"
"صاف (saaf)","Clean, clear"
"صاف کرنا (saaf karna)","To clean"
"صفائی (safai)","Cleaning"
"صفائی کرنا (safai karna)","To clean X"
"فکر (fikr)","Thought, preoccupation"
"فکر کرنا (fikr karna)","To worry (about X)"
"کم (kam)","Less, fewer, little, few"
"کم کرنا (kam karna)","To lower, to lessen, to decrease"
"کوشش (koshish)","Effort"
"کوشش کرنا (koshish karna)","To try to V"
"مدد (madad)","Help"
"مدد کرنا (madad karna)","To help X"
"معاف (maaf)","Excused; forgiven"
"معاف کرنا (maaf karna)","To excuse, to forgive"
"نفرت (nafrat)","Hatred"
"نفرت کرنا (nafrat karna)","To hate X"
"یقین (yaqeen)","Certainty"
"یقین کرنا (yaqeen karna)","To believe"
